ref,value,footprint,Mouser Part No.,Quantity
C1 C7 C8 C9 C10 C19 C18 C21 C15 C16,0.1uf,w_smd_cap:c_0402,710-885012105001,10
C11,10uf,w_smd_cap:c_0603,81-ZRB18AR61C106ME1L,1
C12,CP,w_smd_cap:c_elec_4x4.5,667-EEE-1AA330WR,1
C13,2nf,w_smd_cap:c_0603,81-GRM1885C1H202JA1D,1
C14,6.8nf,w_smd_cap:c_0402,81-GRM155R71H682KA8D,1
C17,CP,w_smd_cap:c_elec_8x6.5,667-EEE-1AA221P,1
C2 C3,16pf,w_smd_cap:c_0402,81-GRM1555C1H160JA1D,2
C20,1uf,w_smd_cap:c_0402,810-C1005X5R1H104K,1
C22,1uf,w_smd_cap:c_0805,810-C2012X7S2A105K,1
C4,220uf,w_smd_cap:c_tant_B,581-TAJB475K025R,1
C5,6.8uf,w_smd_cap:c_tant_D,74-293D685X9050D2TE3,1
D1 D2,BRIDGE,w_smd_diode:MBS,621-HD01-T,2
D3,ZENER,w_smd_diode:do214ac,576-SMAJ58A,1
D4,BAS516,w_smd_diode:sod523,771-BAS516-T/R,1
D5,D_Schottky,w_smd_diode:do214ab,621-B360A-F,1
D6,LED,w_smd_leds:Led_0603,743-HT-191USD,1
D7,ZENER,w_smd_diode:sod123,771-BZT52HB5V1115,1
IC1,ENC28J60-I/ML,w_smd_qfn:qfn-28,579-ENC28J60-I/ML,1
J1,RJ45-LED,w_conn_pc:rj45-tyco-2-406549-7,710-615008137421,1
L1,2.2uH,w_smd_inductors:inductor_smd_1008,81-LQM2HPN2R2MEHL,1
L2,BEAD,w_smd_inductors:inductor_smd_0402,81-BLM15AG102SN1D,1
Q1,SI3440DV,w_smd_trans:tsot-6,781-SI3440DV-E3,1
Q2,BSS138,w_smd_trans:sot23,621-DMG2305UX-13,1
Q3,BSS138,w_smd_trans:sot23,512-BSS138,1
R12,3.3k,w_smd_resistors:r_0402,754-RR0510P-332D,1
R13,390,w_smd_resistors:r_0402,594-MCT06030C3900FP5,1
R14 R16 R17 R26,49.9,w_smd_resistors:r_0402,660-RK73H1ETQTP49R9F,4
R15,240,w_smd_resistors:r_0402,754-RR0816P-241D,1
R18,360,w_smd_resistors:r_0402,71-CRCW0603316RFKEB,1
R19,10k,w_smd_resistors:r_0402,71-CRCW0402-10K-E3,1
R2 R4 R10 R11,10k,w_smd_resistors:r_0402,754-RR0510P-103D,4
R20,47k,w_smd_resistors:r_0402,667-ERJ-2RKF4702X,1
R21 R22,549,w_smd_resistors:r_0402,667-ERJ-2RKF5490X,2
R24 R23,14k,w_smd_resistors:r_0402,667-ERJ-2RKF1402X,2
R25,100,w_smd_resistors:r_0402,71-CRCW0402-100-E3,1
R3,1k,w_smd_resistors:r_0402,754-RR0510P-102D,1
R6,0.05,w_smd_resistors:r_1206,660-UR732BTTD50L0F,1
R7,6.8k,w_smd_resistors:r_0402,754-RR0510P-682D,1
R8,2.32k,w_smd_resistors:r_0402,667-ERJ-2RKF2321X,1
T1,PULSE_H1197,project_foot:H2019,673-H1197FNL,1
T2,TRANSFO,project_foot:PoE_TRANS,710-7491199501,1
T3,VOLTAGE_REF,w_smd_trans:sot23,863-TLV431BSN1T1G,1
U2,PAS291,project_foot:OPTO_ISO,551-PS2911-1-K-AX,1
U3,LM1117IMPX-ADJ,w_smd_trans:sot223,926-M1117IMPXADJNOPB,1
U5,DMMT5401,w_smd_trans:sot23-6,621-DMMT5401-7-F,1
Y1,25Mhz,w_crystal:crystal_smd_5x3.2mm,774-445I23D25M00000,1
